X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,CI_ID,CSLLEA08ID,SUBTYPE1,SUBTYPE2,TRIBAL,NUMPRE,NUMFIXSUB,NUMMOBILE,FTSWORN,FTCIV,PTSWORN,PTCIV
-121.7538566,36.9086228,48,1002375,WATSONVILLE POLICE DEPARTMENT,215 UNION STREET,WATSONVILLE,CA,95076,5009,(831) 728-6001,LOCAL POLICE DEPARTMENT,OPEN,87,SANTA CRUZ,06087,USA,36.9086228,-121.7538566,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13778670,-999,-999,0,0,2,0,64,23,0,0
-121.2320699,37.79977787,49,1001840,MANTECA POLICE DEPARTMENT,1001 WEST CENTER STREET,MANTECA,CA,95337,4302,(209) 239-8401,LOCAL POLICE DEPARTMENT,OPEN,110,SAN JOAQUIN,06077,USA,37.79977787,-121.2320699,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13432340,-999,-999,0,0,0,0,76,34,0,0
-123.8038551,39.432339,50,1001644,FORT BRAGG POLICE DEPARTMENT,250 CYPRESS STREET,FORT BRAGG,CA,95437,5437,(707) 961-2800,LOCAL POLICE DEPARTMENT,OPEN,23,MENDOCINO,06045,USA,39.432339,-123.8038551,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11065730,-999,-999,0,0,0,0,17,6,0,0
-117.6909289,34.0126094,80,1001525,CHINO POLICE DEPARTMENT,13250 CENTRAL AVENUE,CHINO,CA,91710,4127,(909) 591-9874,LOCAL POLICE DEPARTMENT,OPEN,142,SAN BERNARDINO,06071,USA,34.0126094,-117.6909289,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13849580,-999,-999,0,0,0,0,96,46,7,12
-117.3286833,33.225881,81,1001950,OCEANSIDE POLICE DEPARTMENT,3855 MISSION AVENUE,OCEANSIDE,CA,92054,1882,(760) 435-4450,LOCAL POLICE DEPARTMENT,OPEN,308,SAN DIEGO,06073,USA,33.225881,-117.3286833,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13563250,-999,-999,0,0,3,0,210,98,0,6
-118.6256762,35.08306186,82,1002314,STALLION SPRINGS POLICE DEPARTMENT,27800 STALLION SPRINGS DRIVE,TEHACHAPI,CA,93561,5259,(661) 822-3268,LOCAL POLICE DEPARTMENT,OPEN,3,KERN,06029,USA,35.08306186,-118.6256762,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13823780,-999,-999,0,1,0,0,3,0,1,0
-119.0205769,35.3731275,83,1001441,BAKERSFIELD POLICE DEPARTMENT,1601 TRUXTUN AVENUE,BAKERSFIELD,CA,93301,5109,(661) 326-3980,LOCAL POLICE DEPARTMENT,OPEN,483,KERN,06029,USA,35.3731275,-119.0205769,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13959390,-999,-999,0,0,3,0,348,135,0,21
-122.2732455,37.8702149,84,1001470,BERKELEY POLICE DEPARTMENT,2100 MARTIN LUTHER KING JUNIOR WAY,BERKELEY,CA,94704,1109,(510) 981-5900,LOCAL POLICE DEPARTMENT,OPEN,290,ALAMEDA,06001,USA,37.8702149,-122.2732455,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,10006906,13410240,-999,-999,0,1,0,0,186,104,0,16
-122.4583602,37.6771528,85,1001544,COLMA POLICE DEPARTMENT,1199 EL CAMINO REAL,COLMA,CA,94014,3211,(650) 997-8321,LOCAL POLICE DEPARTMENT,OPEN,25,SAN MATEO,06081,USA,37.6771528,-122.4583602,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11435510,-999,-999,0,0,0,0,18,7,0,0
-120.0550049,36.9605186,86,1001835,MADERA POLICE DEPARTMENT,330 SOUTH C STREET,MADERA,CA,93638,3727,(559) 675-4200,LOCAL POLICE DEPARTMENT,OPEN,82,MADERA,06039,USA,36.9605186,-120.0550049,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13356930,-999,-999,0,0,1,0,60,22,0,0
-120.6488793,40.4255349,249,1002304,LASSEN COUNTY SHERIFFS DEPARTMENT,1415 SHERIFF CADY LANE,SUSANVILLE,CA,96130,3782,(530) 257-6121,SHERIFF'S OFFICE,OPEN,97,LASSEN,06035,USA,40.4255349,-120.6488793,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,10005262,13984190,-999,-999,0,0,3,0,31,66,0,0
-122.2307306,37.4881227,250,1002042,SAN MATEO COUNTY SHERIFFS OFFICE,400 COUNTY CENTER,REDWOOD CITY,CA,94063,1668,(650) 363-4000,SHERIFF'S OFFICE,OPEN,598,SAN MATEO,06081,USA,37.4881227,-122.2307306,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,10005309,13066800,-999,-999,0,0,2,0,334,264,0,0
-121.6307325,36.7011,251,1002108,MONTEREY COUNTY SHERIFFS OFFICE,1414 NATIVIDAD ROAD,SALINAS,CA,93906,3102,(831) 755-3700,SHERIFF'S OFFICE,OPEN,430,MONTEREY,06053,USA,36.7011,-121.6307325,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13686060,-999,-999,0,3,0,0,315,115,0,1
-119.777112,34.4450249,265,1002230,SANTA BARBARA COUNTY MAIN JAIL,4436 CALLE REAL,SANTA BARBARA,CA,93110,1002,(805) 681-4260,LOCAL POLICE DEPARTMENT,OPEN,-999,SANTA BARBARA,06083,USA,34.4450249,-119.777112,922120,POLICE PROTECTION,"LAW ENFORCEMENT LOCATIONS; HSIP GOLD 2015, 2009",2009/09/18 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,10000865,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-116.8282172,32.78856243,272,1001606,SYCUAN TRIBAL DEPARTMENT OF PUBLIC SAFETY,1 KWAAYPAAY RD,EL CAJON,CA,92019,NOT AVAILABLE,NOT AVAILABLE,LOCAL POLICE DEPARTMENT,OPEN,20,SAN DIEGO,06073,USA,32.78856243,-116.8282172,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/05/29 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11990002,-999,-999,1,0,0,0,12,8,0,0
-123.0592791,38.98014304,273,1001716,HOPLAND TRIBAL POLICE DEPARTMENT,300 SHANEL ROAD,HOPLAND,CA,95449,NOT AVAILABLE,NOT AVAILABLE,LOCAL POLICE DEPARTMENT,OPEN,8,MENDOCINO,06045,USA,38.98014304,-123.0592791,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/05/30 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11990004,-999,-999,1,0,0,0,6,2,0,0
